YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_max_C,skin_temperature_min_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,4,7,23.6,14.8,91,1,180,21.4,0.579614566,0.267827677,30.54015503,18.26372681,0.144353304,0.23230344,-0.159076516,-0.140188266,0.023477778,-0.08579964,-0.397147949
2014,4,8,23.6,14.4,85,1,320,23.4,0.603542536,0.267849825,28.55765686,18.19552002,0.145846894,0.232372289,-0.182204663,-0.140222184,0.025462963,-0.069771684,-0.397005634
2014,4,9,24.6,15.6,87,1,290,24.3,0.627470507,0.267871961,30.02874146,18.50518188,0.147340483,0.232441068,-0.205332811,-0.140256062,0.0995,-0.053743728,-0.39686348
2014,4,10,25.1,15.1,86,1,180,24.1,0.651398477,0.267894086,29.88172302,17.18746338,0.148834073,0.232509778,-0.228460958,-0.1402899,0.080362963,-0.037715771,-0.396721487
2014,4,11,24.8,15.6,86,1,110,24.9,0.675326448,0.267916199,30.66005859,18.49463806,0.150327663,0.232578418,-0.251589105,-0.140323699,0.032496296,-0.021687815,-0.396579655
2014,4,12,21.4,16.2,94,1,110,20.8,0.699254418,0.699254418,29.93666992,18.6569458,0.151821252,0.151821252,-0.274717252,-0.274717252,0.009048148,-0.005659859,-0.005659859
2014,4,13,23.4,16,92,1,340,22.1,0.650070253,0.267960388,28.13648376,18.48574219,0.148871247,0.232715489,-0.24479447,-0.140391178,0.009537037,-0.042031216,-0.396296475
2014,4,14,23.9,14.5,91,2,140,22.7,0.600886087,0.267982464,28.62235413,18.60028992,0.145921242,0.23278392,-0.214871688,-0.140424859,0.02222963,-0.078402574,-0.396155126
2014,4,15,23.6,15.2,91,1,140,22,0.551701921,0.268004529,30.58176575,17.56064758,0.142971237,0.232852282,-0.184948907,-0.1404585,0.02472963,-0.114773931,-0.396013938
2014,4,16,21,14.8,92,1,140,20,0.502517756,0.268026582,30.03319702,17.26148376,0.140021232,0.232920575,-0.155026125,-0.140492102,0.004192593,-0.151145289,-0.395872911
